"('grid4FR', 'U1S', 'BFS', True)",3.56,8.150926698,"((3.56, 8.150926698),)"
"('grid4FR', 'U1S', 'BNB', True)",3.56,2.9929667979999994,"((3.56, 2.9929667979999994),)"
"('grid4FR', 'U1D', 'MCTS', False)",1.94,0.367,"((0.17, 0.0), (1.16, 0.008), (2.03, 0.016), (2.03, 0.022), (2.03, 0.027), (2.03, 0.035), (2.03, 0.042), (2.03, 0.049), (1.84, 0.056), (1.84, 0.061), (1.84, 0.067), (1.84, 0.071), (1.84, 0.075), (1.84, 0.079), (1.84, 0.082), (1.84, 0.086), (1.84, 0.089), (1.84, 0.092), (1.84, 0.096), (1.84, 0.099), (1.84, 0.103), (1.84, 0.106), (1.84, 0.109), (2.89, 0.112), (2.89, 0.116), (2.89, 0.119), (2.89, 0.122), (2.89, 0.126), (2.89, 0.129), (2.89, 0.132), (2.89, 0.135), (2.89, 0.139), (2.89, 0.142), (2.89, 0.145), (2.89, 0.149), (2.89, 0.152), (2.89, 0.155), (2.89, 0.158), (2.89, 0.162), (2.89, 0.165), (2.89, 0.168), (2.89, 0.172), (2.89, 0.175), (2.89, 0.178), (2.89, 0.182), (2.89, 0.185), (2.89, 0.188), (2.89, 0.191), (2.89, 0.195), (2.89, 0.198), (2.89, 0.202), (2.89, 0.205), (2.89, 0.208), (2.89, 0.212), (2.89, 0.215), (2.89, 0.218), (2.89, 0.221), (2.89, 0.225), (2.89, 0.228), (2.89, 0.231), (2.89, 0.235), (2.89, 0.238), (2.89, 0.241), (2.89, 0.245), (2.89, 0.248), (2.89, 0.251), (2.89, 0.255), (2.89, 0.258), (2.89, 0.261), (2.89, 0.264), (2.89, 0.268), (2.89, 0.271), (2.89, 0.274), (2.89, 0.278), (2.89, 0.281), (2.89, 0.284), (2.89, 0.288), (2.89, 0.291), (2.89, 0.294), (2.89, 0.298), (2.89, 0.301), (2.89, 0.304), (2.89, 0.308), (2.89, 0.311), (2.89, 0.314), (2.89, 0.318), (2.89, 0.321), (2.89, 0.324), (2.89, 0.328), (2.89, 0.331), (2.89, 0.334), (2.89, 0.337), (2.89, 0.341), (2.89, 0.344), (2.89, 0.347), (2.89, 0.351), (2.89, 0.354), (1.94, 0.357), (1.94, 0.361), (1.94, 0.364), (1.94, 0.367))"
"('grid4FR', 'U1S', 'MCTS', False)",3.56,0.498,"((0.17, 0.001), (1.09, 0.027), (2.03, 0.055), (2.8, 0.071), (2.8, 0.085), (2.8, 0.105), (2.81, 0.127), (2.81, 0.148), (2.81, 0.166), (2.81, 0.181), (3.52, 0.193), (3.52, 0.202), (3.52, 0.209), (3.56, 0.214), (3.56, 0.218), (3.56, 0.221), (3.56, 0.224), (3.56, 0.227), (3.56, 0.23), (3.56, 0.234), (3.56, 0.237), (3.56, 0.24), (3.56, 0.243), (3.56, 0.247), (3.56, 0.25), (3.56, 0.253), (3.56, 0.256), (3.56, 0.26), (3.56, 0.263), (3.56, 0.266), (3.56, 0.269), (3.56, 0.273), (3.56, 0.276), (3.56, 0.279), (3.56, 0.282), (3.56, 0.286), (3.56, 0.289), (3.56, 0.292), (3.56, 0.295), (3.56, 0.298), (3.56, 0.302), (3.56, 0.305), (3.56, 0.308), (3.56, 0.311), (3.56, 0.315), (3.56, 0.318), (3.56, 0.321), (3.56, 0.324), (3.56, 0.328), (3.56, 0.331), (3.56, 0.334), (3.56, 0.337), (3.56, 0.341), (3.56, 0.344), (3.56, 0.347), (3.56, 0.35), (3.56, 0.353), (3.56, 0.357), (3.56, 0.36), (3.56, 0.363), (3.56, 0.367), (3.56, 0.37), (3.56, 0.373), (3.56, 0.376), (3.56, 0.379), (3.56, 0.383), (3.56, 0.386), (3.56, 0.389), (3.56, 0.392), (3.56, 0.396), (3.56, 0.399), (3.56, 0.402), (3.56, 0.405), (3.56, 0.409), (3.56, 0.412), (3.56, 0.415), (3.56, 0.419), (3.56, 0.422), (3.56, 0.425), (3.56, 0.428), (3.56, 0.432), (3.56, 0.435), (3.56, 0.438), (3.56, 0.442), (3.56, 0.445), (3.56, 0.448), (3.56, 0.452), (3.56, 0.455), (3.56, 0.458), (3.56, 0.462), (3.56, 0.465), (3.56, 0.469), (3.56, 0.472), (3.56, 0.475), (3.56, 0.479), (3.56, 0.482), (3.56, 0.485), (3.56, 0.488), (3.56, 0.492), (3.56, 0.495), (3.56, 0.498))"
"('grid4FR', 'U1S', 'BFS', False)",3.56,0.38223462999999924,"((3.56, 0.38223462999999924),)"
"('grid4FR', 'U1S', 'BNB', False)",3.56,0.23511091700000009,"((3.56, 0.23511091700000009),)"
"('grid3FR', 'U1D', 'MCTS', True)",1.23,1.196,"((0.43, 0.0), (1.23, 0.011), (1.23, 0.026), (1.23, 0.036), (1.23, 0.044), (1.23, 0.052), (1.23, 0.061), (1.23, 0.072), (1.23, 0.086), (1.23, 0.1), (1.23, 0.116), (1.23, 0.13), (1.23, 0.144), (1.23, 0.159), (1.23, 0.172), (1.23, 0.182), (1.23, 0.194), (1.23, 0.204), (1.23, 0.213), (1.23, 0.222), (1.23, 0.23), (1.23, 0.238), (1.23, 0.246), (1.23, 0.254), (1.23, 0.261), (1.23, 0.268), (1.23, 0.275), (1.23, 0.282), (1.23, 0.289), (1.23, 0.296), (1.23, 0.303), (1.23, 0.31), (1.23, 0.317), (1.23, 0.325), (1.23, 0.332), (1.23, 0.339), (1.23, 0.346), (1.23, 0.354), (1.23, 0.362), (1.23, 0.37), (1.23, 0.377), (1.23, 0.385), (1.23, 0.394), (1.23, 0.403), (1.23, 0.413), (1.23, 0.424), (1.23, 0.433), (1.23, 0.443), (1.23, 0.452), (1.23, 0.462), (1.23, 0.473), (1.23, 0.484), (1.23, 0.495), (1.23, 0.507), (1.23, 0.518), (1.23, 0.528), (1.23, 0.56), (1.23, 0.572), (1.23, 0.586), (1.23, 0.599), (1.23, 0.611), (1.23, 0.624), (1.23, 0.637), (1.23, 0.648), (1.23, 0.661), (1.23, 0.674), (1.23, 0.688), (1.23, 0.702), (1.23, 0.716), (1.23, 0.73), (1.23, 0.743), (1.23, 0.757), (1.23, 0.771), (1.23, 0.785), (1.23, 0.799), (1.23, 0.813), (1.23, 0.857), (1.23, 0.87), (1.23, 0.883), (1.23, 0.896), (1.23, 0.909), (1.23, 0.92), (1.23, 0.932), (1.23, 0.943), (1.23, 0.956), (1.23, 0.968), (1.23, 0.981), (1.23, 0.994), (1.23, 1.007), (1.23, 1.02), (1.23, 1.033), (1.23, 1.045), (1.23, 1.058), (1.23, 1.07), (1.23, 1.082), (1.23, 1.097), (1.23, 1.109), (1.23, 1.121), (1.23, 1.171), (1.23, 1.184), (1.23, 1.196))"
"('grid3FR', 'U1S', 'MCTS', True)",2.41,2.372,"((0.43, 0.001), (2.01, 0.026), (0.91, 0.066), (2.01, 0.083), (2.01, 0.098), (1.88, 0.114), (1.88, 0.133), (1.88, 0.155), (1.88, 0.185), (1.88, 0.219), (1.88, 0.254), (1.88, 0.291), (1.88, 0.329), (1.88, 0.362), (1.88, 0.387), (1.88, 0.412), (1.88, 0.435), (1.88, 0.454), (1.88, 0.472), (1.88, 0.498), (1.88, 0.525), (1.88, 0.538), (1.88, 0.55), (1.88, 0.562), (1.88, 0.574), (1.88, 0.586), (1.88, 0.597), (1.88, 0.609), (1.88, 0.622), (1.88, 0.634), (1.88, 0.645), (1.88, 0.657), (1.88, 0.669), (1.88, 0.681), (1.88, 0.695), (1.88, 0.708), (1.88, 0.721), (1.88, 0.735), (1.88, 0.747), (1.88, 0.76), (2.36, 0.775), (2.36, 0.791), (2.36, 0.818), (2.36, 0.836), (2.36, 0.856), (2.36, 0.873), (2.36, 0.894), (2.36, 0.915), (2.36, 0.933), (2.36, 0.951), (2.36, 0.971), (2.36, 0.991), (2.36, 1.013), (2.36, 1.034), (2.36, 1.056), (2.36, 1.082), (2.36, 1.109), (2.36, 1.139), (2.36, 1.165), (2.36, 1.192), (2.36, 1.219), (2.36, 1.245), (2.36, 1.272), (2.36, 1.303), (2.36, 1.329), (2.36, 1.359), (2.36, 1.385), (2.36, 1.413), (2.36, 1.443), (2.36, 1.471), (2.36, 1.499), (2.36, 1.53), (2.36, 1.559), (2.36, 1.59), (2.36, 1.619), (2.36, 1.648), (2.36, 1.757), (2.36, 1.785), (2.41, 1.814), (2.41, 1.837), (2.41, 1.857), (2.41, 1.879), (2.41, 1.903), (2.41, 1.927), (2.41, 1.951), (2.41, 1.976), (2.41, 2.0), (2.41, 2.026), (2.41, 2.055), (2.41, 2.084), (2.41, 2.111), (2.41, 2.138), (2.41, 2.165), (2.41, 2.19), (2.41, 2.217), (2.41, 2.244), (2.41, 2.274), (2.41, 2.299), (2.41, 2.322), (2.41, 2.347), (2.41, 2.372))"
"('grid3FR', 'U1S', 'BFS', True)",2.81,-,"((2.81, 60.001),)"
"('grid3FR', 'U1S', 'BNB', True)",2.84,13.796290302000003,"((2.84, 13.796290302000003),)"
"('grid3FR', 'U1D', 'MCTS', False)",2.01,0.69,"((0.43, 0.0), (1.71, 0.01), (2.01, 0.02), (2.01, 0.029), (2.01, 0.037), (2.01, 0.046), (1.23, 0.055), (1.23, 0.063), (1.23, 0.072), (1.23, 0.079), (1.23, 0.087), (1.23, 0.094), (1.23, 0.101), (1.23, 0.108), (1.23, 0.116), (1.23, 0.123), (1.23, 0.131), (1.23, 0.138), (1.23, 0.146), (1.23, 0.154), (1.23, 0.162), (1.23, 0.17), (1.23, 0.177), (1.23, 0.184), (1.23, 0.19), (1.23, 0.198), (1.23, 0.205), (1.23, 0.212), (1.23, 0.219), (1.23, 0.225), (1.23, 0.231), (1.23, 0.237), (1.23, 0.243), (1.23, 0.249), (1.23, 0.256), (1.23, 0.261), (1.23, 0.267), (1.23, 0.273), (1.23, 0.278), (1.23, 0.284), (1.23, 0.289), (1.23, 0.295), (1.23, 0.447), (1.23, 0.452), (1.23, 0.456), (1.23, 0.461), (1.23, 0.466), (2.01, 0.47), (2.01, 0.475), (2.01, 0.479), (2.01, 0.484), (2.01, 0.488), (2.01, 0.493), (2.01, 0.497), (2.01, 0.501), (2.01, 0.506), (2.01, 0.51), (2.01, 0.514), (2.01, 0.517), (2.01, 0.521), (2.01, 0.525), (2.01, 0.529), (2.01, 0.537), (2.01, 0.545), (2.01, 0.553), (2.01, 0.56), (2.01, 0.566), (2.01, 0.57), (2.01, 0.574), (2.01, 0.577), (2.01, 0.581), (2.01, 0.585), (2.01, 0.588), (2.01, 0.592), (2.01, 0.596), (2.01, 0.599), (2.01, 0.603), (2.01, 0.606), (2.01, 0.61), (2.01, 0.614), (2.01, 0.617), (2.01, 0.621), (2.01, 0.625), (2.01, 0.628), (2.01, 0.632), (2.01, 0.635), (2.01, 0.639), (2.01, 0.643), (2.01, 0.646), (2.01, 0.65), (2.01, 0.654), (2.01, 0.657), (2.01, 0.661), (2.01, 0.665), (2.01, 0.668), (2.01, 0.672), (2.01, 0.676), (2.01, 0.679), (2.01, 0.683), (2.01, 0.686), (2.01, 0.69))"
"('grid3FR', 'U1S', 'MCTS', False)",2.84,0.972,"((0.43, 0.001), (2.01, 0.033), (2.19, 0.067), (2.19, 0.088), (2.46, 0.109), (2.61, 0.137), (2.69, 0.163), (2.69, 0.188), (2.69, 0.208), (2.69, 0.228), (2.69, 0.246), (2.69, 0.263), (2.69, 0.279), (2.69, 0.296), (2.69, 0.313), (2.69, 0.332), (2.73, 0.35), (2.73, 0.37), (2.73, 0.39), (2.6, 0.409), (2.6, 0.429), (2.6, 0.447), (2.59, 0.463), (2.59, 0.48), (2.59, 0.495), (2.59, 0.511), (2.63, 0.529), (2.63, 0.544), (2.63, 0.557), (2.63, 0.569), (2.63, 0.581), (2.63, 0.596), (2.63, 0.609), (2.63, 0.624), (2.63, 0.635), (2.63, 0.647), (2.63, 0.659), (2.63, 0.669), (2.63, 0.68), (2.63, 0.688), (2.63, 0.698), (2.63, 0.709), (2.63, 0.719), (2.63, 0.728), (2.63, 0.736), (2.8, 0.741), (2.8, 0.748), (2.8, 0.756), (2.8, 0.764), (2.8, 0.77), (2.8, 0.776), (2.8, 0.784), (2.8, 0.791), (2.8, 0.798), (2.8, 0.804), (2.8, 0.809), (2.8, 0.813), (2.8, 0.817), (2.8, 0.821), (2.8, 0.825), (2.8, 0.83), (2.8, 0.834), (2.8, 0.838), (2.8, 0.842), (2.8, 0.847), (2.8, 0.85), (2.84, 0.855), (2.84, 0.86), (2.84, 0.864), (2.84, 0.867), (2.84, 0.871), (2.84, 0.874), (2.84, 0.877), (2.84, 0.881), (2.84, 0.884), (2.84, 0.887), (2.84, 0.891), (2.84, 0.894), (2.84, 0.898), (2.84, 0.901), (2.84, 0.904), (2.84, 0.908), (2.84, 0.911), (2.84, 0.914), (2.84, 0.918), (2.84, 0.921), (2.84, 0.925), (2.84, 0.928), (2.84, 0.931), (2.84, 0.935), (2.84, 0.938), (2.84, 0.941), (2.84, 0.945), (2.84, 0.948), (2.84, 0.952), (2.84, 0.955), (2.84, 0.959), (2.84, 0.962), (2.84, 0.965), (2.84, 0.968), (2.84, 0.972))"
"('grid3FR', 'U1S', 'BFS', False)",2.84,1.2948665259999927,"((2.84, 1.2948665259999927),)"
"('grid3FR', 'U1S', 'BNB', False)",2.84,0.604846632999994,"((2.84, 0.604846632999994),)"
"('grid2SC', 'U1D', 'MCTS', True)",3.0,0.288,"((1.0, 0.0), (2.0, 0.008), (2.0, 0.015), (3.0, 0.018), (3.0, 0.021), (3.0, 0.024), (3.0, 0.027), (3.0, 0.029), (3.0, 0.032), (3.0, 0.035), (3.0, 0.038), (3.0, 0.041), (3.0, 0.044), (3.0, 0.047), (3.0, 0.05), (3.0, 0.052), (3.0, 0.055), (3.0, 0.058), (3.0, 0.061), (3.0, 0.063), (3.0, 0.066), (3.0, 0.068), (3.0, 0.071), (3.0, 0.074), (3.0, 0.076), (3.0, 0.079), (3.0, 0.082), (3.0, 0.084), (3.0, 0.087), (3.0, 0.089), (3.0, 0.092), (3.0, 0.094), (3.0, 0.097), (3.0, 0.1), (3.0, 0.102), (3.0, 0.105), (3.0, 0.107), (3.0, 0.11), (3.0, 0.112), (3.0, 0.115), (3.0, 0.118), (3.0, 0.121), (3.0, 0.124), (3.0, 0.127), (3.0, 0.13), (3.0, 0.132), (3.0, 0.135), (3.0, 0.138), (3.0, 0.141), (3.0, 0.144), (3.0, 0.147), (3.0, 0.149), (3.0, 0.152), (3.0, 0.155), (3.0, 0.158), (3.0, 0.161), (3.0, 0.164), (3.0, 0.166), (3.0, 0.169), (3.0, 0.172), (3.0, 0.174), (3.0, 0.177), (3.0, 0.18), (3.0, 0.183), (3.0, 0.185), (3.0, 0.188), (3.0, 0.191), (3.0, 0.194), (3.0, 0.197), (3.0, 0.2), (3.0, 0.202), (3.0, 0.205), (3.0, 0.208), (3.0, 0.211), (3.0, 0.214), (3.0, 0.217), (3.0, 0.219), (3.0, 0.222), (3.0, 0.225), (3.0, 0.228), (3.0, 0.231), (3.0, 0.233), (3.0, 0.236), (3.0, 0.239), (3.0, 0.242), (3.0, 0.245), (3.0, 0.248), (3.0, 0.25), (3.0, 0.253), (3.0, 0.256), (3.0, 0.259), (3.0, 0.262), (3.0, 0.265), (3.0, 0.268), (3.0, 0.271), (3.0, 0.274), (3.0, 0.277), (3.0, 0.28), (3.0, 0.283), (3.0, 0.285), (3.0, 0.288))"
"('grid2SC', 'U1S', 'MCTS', True)",3.0,0.279,"((1.0, 0.001), (2.0, 0.014), (2.0, 0.029), (2.0, 0.031), (3.0, 0.034), (3.0, 0.036), (3.0, 0.038), (3.0, 0.041), (3.0, 0.043), (3.0, 0.046), (3.0, 0.048), (3.0, 0.05), (3.0, 0.053), (3.0, 0.055), (3.0, 0.058), (3.0, 0.06), (3.0, 0.062), (3.0, 0.065), (3.0, 0.068), (3.0, 0.07), (3.0, 0.072), (3.0, 0.075), (3.0, 0.077), (3.0, 0.08), (3.0, 0.082), (3.0, 0.085), (3.0, 0.087), (3.0, 0.09), (3.0, 0.092), (3.0, 0.095), (3.0, 0.097), (3.0, 0.1), (3.0, 0.103), (3.0, 0.107), (3.0, 0.109), (3.0, 0.112), (3.0, 0.114), (3.0, 0.117), (3.0, 0.119), (3.0, 0.121), (3.0, 0.124), (3.0, 0.126), (3.0, 0.129), (3.0, 0.131), (3.0, 0.134), (3.0, 0.137), (3.0, 0.139), (3.0, 0.142), (3.0, 0.144), (3.0, 0.146), (3.0, 0.149), (3.0, 0.152), (3.0, 0.154), (3.0, 0.157), (3.0, 0.159), (3.0, 0.162), (3.0, 0.164), (3.0, 0.167), (3.0, 0.17), (3.0, 0.173), (3.0, 0.175), (3.0, 0.178), (3.0, 0.181), (3.0, 0.183), (3.0, 0.186), (3.0, 0.189), (3.0, 0.191), (3.0, 0.194), (3.0, 0.197), (3.0, 0.199), (3.0, 0.202), (3.0, 0.205), (3.0, 0.207), (3.0, 0.21), (3.0, 0.213), (3.0, 0.215), (3.0, 0.218), (3.0, 0.221), (3.0, 0.223), (3.0, 0.226), (3.0, 0.229), (3.0, 0.231), (3.0, 0.234), (3.0, 0.236), (3.0, 0.239), (3.0, 0.241), (3.0, 0.244), (3.0, 0.246), (3.0, 0.248), (3.0, 0.251), (3.0, 0.253), (3.0, 0.256), (3.0, 0.258), (3.0, 0.261), (3.0, 0.263), (3.0, 0.266), (3.0, 0.269), (3.0, 0.271), (3.0, 0.274), (3.0, 0.277), (3.0, 0.279))"
"('grid2SC', 'U1S', 'BFS', True)",3.0,0.05798201499999989,"((3.0, 0.05798201499999989),)"
"('grid2SC', 'U1S', 'BNB', True)",3.0,0.05611499699999989,"((3.0, 0.05611499699999989),)"
"('grid2SC', 'U1D', 'MCTS', False)",3.0,0.256,"((1.0, 0.0), (3.0, 0.004), (3.0, 0.007), (3.0, 0.01), (3.0, 0.013), (3.0, 0.015), (3.0, 0.018), (3.0, 0.021), (3.0, 0.023), (3.0, 0.026), (3.0, 0.028), (3.0, 0.031), (3.0, 0.033), (3.0, 0.036), (3.0, 0.039), (3.0, 0.041), (3.0, 0.044), (3.0, 0.046), (3.0, 0.049), (3.0, 0.052), (3.0, 0.054), (3.0, 0.057), (3.0, 0.06), (3.0, 0.062), (3.0, 0.065), (3.0, 0.067), (3.0, 0.07), (3.0, 0.073), (3.0, 0.075), (3.0, 0.078), (3.0, 0.08), (3.0, 0.083), (3.0, 0.086), (3.0, 0.088), (3.0, 0.091), (3.0, 0.093), (3.0, 0.096), (3.0, 0.098), (3.0, 0.1), (3.0, 0.103), (3.0, 0.105), (3.0, 0.108), (3.0, 0.11), (3.0, 0.112), (3.0, 0.114), (3.0, 0.116), (3.0, 0.118), (3.0, 0.121), (3.0, 0.123), (3.0, 0.125), (3.0, 0.128), (3.0, 0.13), (3.0, 0.133), (3.0, 0.136), (3.0, 0.138), (3.0, 0.141), (3.0, 0.143), (3.0, 0.146), (3.0, 0.149), (3.0, 0.151), (3.0, 0.154), (3.0, 0.156), (3.0, 0.159), (3.0, 0.162), (3.0, 0.164), (3.0, 0.167), (3.0, 0.169), (3.0, 0.172), (3.0, 0.175), (3.0, 0.177), (3.0, 0.18), (3.0, 0.182), (3.0, 0.185), (3.0, 0.188), (3.0, 0.19), (3.0, 0.193), (3.0, 0.195), (3.0, 0.198), (3.0, 0.2), (3.0, 0.203), (3.0, 0.205), (3.0, 0.208), (3.0, 0.21), (3.0, 0.213), (3.0, 0.215), (3.0, 0.218), (3.0, 0.22), (3.0, 0.223), (3.0, 0.225), (3.0, 0.227), (3.0, 0.23), (3.0, 0.233), (3.0, 0.235), (3.0, 0.238), (3.0, 0.241), (3.0, 0.243), (3.0, 0.246), (3.0, 0.248), (3.0, 0.251), (3.0, 0.254), (3.0, 0.256))"
"('grid2SC', 'U1S', 'MCTS', False)",3.0,0.284,"((1.0, 0.001), (3.0, 0.009), (3.0, 0.012), (3.0, 0.014), (3.0, 0.017), (3.0, 0.019), (3.0, 0.022), (3.0, 0.024), (3.0, 0.027), (3.0, 0.03), (3.0, 0.032), (3.0, 0.035), (3.0, 0.037), (3.0, 0.04), (3.0, 0.042), (3.0, 0.045), (3.0, 0.047), (3.0, 0.05), (3.0, 0.052), (3.0, 0.055), (3.0, 0.057), (3.0, 0.06), (3.0, 0.062), (3.0, 0.065), (3.0, 0.067), (3.0, 0.07), (3.0, 0.072), (3.0, 0.075), (3.0, 0.077), (3.0, 0.079), (3.0, 0.081), (3.0, 0.084), (3.0, 0.086), (3.0, 0.088), (3.0, 0.09), (3.0, 0.093), (3.0, 0.095), (3.0, 0.097), (3.0, 0.1), (3.0, 0.102), (3.0, 0.105), (3.0, 0.107), (3.0, 0.11), (3.0, 0.112), (3.0, 0.115), (3.0, 0.117), (3.0, 0.12), (3.0, 0.122), (3.0, 0.125), (3.0, 0.127), (3.0, 0.13), (3.0, 0.132), (3.0, 0.135), (3.0, 0.137), (3.0, 0.14), (3.0, 0.142), (3.0, 0.145), (3.0, 0.147), (3.0, 0.15), (3.0, 0.152), (3.0, 0.155), (3.0, 0.157), (3.0, 0.159), (3.0, 0.162), (3.0, 0.165), (3.0, 0.168), (3.0, 0.17), (3.0, 0.173), (3.0, 0.175), (3.0, 0.178), (3.0, 0.18), (3.0, 0.183), (3.0, 0.185), (3.0, 0.19), (3.0, 0.194), (3.0, 0.199), (3.0, 0.203), (3.0, 0.208), (3.0, 0.212), (3.0, 0.217), (3.0, 0.222), (3.0, 0.226), (3.0, 0.231), (3.0, 0.235), (3.0, 0.24), (3.0, 0.244), (3.0, 0.248), (3.0, 0.251), (3.0, 0.253), (3.0, 0.257), (3.0, 0.26), (3.0, 0.262), (3.0, 0.265), (3.0, 0.267), (3.0, 0.27), (3.0, 0.272), (3.0, 0.274), (3.0, 0.277), (3.0, 0.279), (3.0, 0.281), (3.0, 0.284))"
"('grid2SC', 'U1S', 'BFS', False)",3.0,0.011095292999999895,"((3.0, 0.011095292999999895),)"
"('grid2SC', 'U1S', 'BNB', False)",3.0,0.015012817000000123,"((3.0, 0.015012817000000123),)"
